"filename", "language", "JSON", "Properties", "Markdown", "Batch", "Log", "XML", "PowerShell", "comment", "blank", "total"
"c:\Users\shiva\Codex\LGD\LGD_28Mar\.kotlin\errors\errors-1774711823313.log", "Log", 0, 0, 0, 0, 291, 0, 0, 0, 5, 296
"c:\Users\shiva\Codex\LGD\LGD_28Mar\.kotlin\errors\errors-1774711823340.log", "Log", 0, 0, 0, 0, 53, 0, 0, 0, 3, 56
"c:\Users\shiva\Codex\LGD\LGD_28Mar\.kotlin\errors\errors-1774711823810.log", "Log", 0, 0, 0, 0, 72, 0, 0, 0, 3, 75
"c:\Users\shiva\Codex\LGD\LGD_28Mar\README.md", "Markdown", 0, 0, 165, 0, 0, 0, 0, 0, 48, 213
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 82, 0, 4, 11, 97
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 39, 0, 0, 1, 40
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\drawable\ic_launcher_monochrome.xml", "XML", 0, 0, 0, 0, 0, 26, 0, 0, 1, 27
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\drawable\ic_notification.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\shiva\Codex\LGD\LGD_28Mar\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\shiva\Codex\LGD\LGD_28Mar\docs\FIREBASE_TELEMETRY_AND_FCM_SETUP.md", "Markdown", 0, 0, 96, 0, 0, 0, 0, 0, 30, 126
"c:\Users\shiva\Codex\LGD\LGD_28Mar\docs\V1_TECH_SPEC.md", "Markdown", 0, 0, 95, 0, 0, 0, 0, 0, 23, 118
"c:\Users\shiva\Codex\LGD\LGD_28Mar\feature\auth\src\main\res\drawable\ic_auth_brand.xml", "XML", 0, 0, 0, 0, 0, 45, 0, 0, 1, 46
"c:\Users\shiva\Codex\LGD\LGD_28Mar\gradle.properties", "Properties", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\shiva\Codex\LGD\LGD_28Mar\gradle\gradle-daemon-jvm.properties", "Properties", 0, 12, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\shiva\Codex\LGD\LGD_28Mar\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\shiva\Codex\LGD\LGD_28Mar\gradlew.bat", "Batch", 0, 0, 0, 41, 0, 0, 0, 32, 22, 95
"c:\Users\shiva\Codex\LGD\LGD_28Mar\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\shiva\Codex\LGD\LGD_28Mar\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\shiva\Codex\LGD\LGD_28Mar\scripts\generate-upload-keystore.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 129, 0, 29, 158
"Total", "-", 7, 33, 356, 41, 416, 246, 129, 37, 190, 1455
